Time,SS_22_State_St__North_Side,SS_23_State_St__South_Side,F200_State_St____Goodman_s,F200_State_St____Art_Center,F341_State_St_,F344_State_St_
2020-06-24 07:00:00,52,29,33,51,36.0,16374
2020-06-24 08:00:00,47,40,33,52,52.0,16375
2020-06-24 09:00:00,61,58,51,56,54.0,16376
2020-06-24 10:00:00,98,75,106,87,118.0,16377
2020-06-24 11:00:00,198,130,142,135,192.0,16378
2020-06-24 12:00:00,215,171,188,175,244.0,16379
2020-06-24 13:00:00,180,216,143,183,273.0,16380
2020-06-24 14:00:00,208,156,181,171,260.0,16381
2020-06-24 15:00:00,157,118,82,112,201.0,16382
2020-06-24 16:00:00,133,121,83,157,195.0,16383
2020-06-24 17:00:00,133,114,59,116,163.0,16384
2020-06-24 18:00:00,116,87,34,94,151.0,16385
2020-06-24 19:00:00,132,94,53,84,126.0,16386
2020-06-24 20:00:00,153,123,65,115,178.0,16387
2020-06-24 21:00:00,116,81,54,82,113.0,16388
2020-06-24 22:00:00,85,58,41,63,85.0,16389
2020-06-24 23:00:00,53,33,19,25,46.0,16390
2020-06-25 00:00:00,37,38,20,19,28.0,16391
2020-06-25 01:00:00,18,13,11,12,15.0,16392
2020-06-25 02:00:00,27,7,3,4,5.0,16393
2020-06-25 03:00:00,4,4,3,4,0.0,16394
2020-06-25 04:00:00,7,7,5,5,10.0,16395
2020-06-25 05:00:00,6,3,3,6,3.0,16396
2020-06-25 06:00:00,31,46,10,22,39.0,16397
2020-06-25 07:00:00,39,34,31,38,29.0,16398
2020-06-25 08:00:00,46,24,38,30,41.0,16399
2020-06-25 09:00:00,83,50,42,60,67.0,16400
2020-06-25 10:00:00,90,66,95,97,112.0,16401
2020-06-25 11:00:00,142,115,114,120,158.0,16402
2020-06-25 12:00:00,234,145,164,149,195.0,16403
2020-06-25 13:00:00,161,146,140,127,201.0,16404
2020-06-25 14:00:00,127,148,106,138,178.0,16405
2020-06-25 15:00:00,127,135,56,153,202.0,16406
2020-06-25 16:00:00,182,169,51,144,183.0,16407
2020-06-25 17:00:00,178,104,72,123,183.0,16408
2020-06-25 18:00:00,223,152,102,171,272.0,16409
2020-06-25 19:00:00,171,143,79,114,206.0,16410
2020-06-25 20:00:00,155,165,61,120,217.0,16411
2020-06-25 21:00:00,126,101,68,88,144.0,16412
2020-06-25 22:00:00,69,61,46,79,95.0,16413
2020-06-25 23:00:00,58,32,41,41,74.0,16414
2020-06-26 00:00:00,30,25,20,46,51.0,16415
2020-06-26 01:00:00,47,7,28,16,25.0,16416
2020-06-26 02:00:00,15,7,5,11,37.0,16417
2020-06-26 03:00:00,7,3,5,4,3.0,16418
2020-06-26 04:00:00,4,2,4,1,8.0,16419
2020-06-26 05:00:00,17,6,4,7,2.0,16420
2020-06-26 06:00:00,32,17,3,8,4.0,16421
2020-06-26 07:00:00,26,6,13,12,11.0,16422
2020-06-26 08:00:00,26,39,21,36,35.0,16423
2020-06-26 09:00:00,38,51,20,38,46.0,16424
2020-06-26 10:00:00,43,48,40,45,85.0,16425
2020-06-26 11:00:00,117,65,59,64,87.0,16426
2020-06-26 12:00:00,122,72,64,68,112.0,16427
2020-06-26 13:00:00,164,93,113,80,141.0,16428
2020-06-26 14:00:00,153,118,121,91,166.0,16429
2020-06-26 15:00:00,101,103,85,90,152.0,16430
2020-06-26 16:00:00,78,37,62,44,97.0,16431
2020-06-26 17:00:00,28,15,24,22,37.0,16432
2020-06-26 18:00:00,95,80,38,71,119.0,16433
2020-06-26 19:00:00,236,123,105,79,144.0,16434
2020-06-26 20:00:00,188,142,109,133,178.0,16435
2020-06-26 21:00:00,141,121,73,97,166.0,16436
2020-06-26 22:00:00,109,74,56,77,120.0,16437
2020-06-26 23:00:00,83,62,39,46,81.0,16438
2020-06-27 00:00:00,69,33,58,45,76.0,16439
2020-06-27 01:00:00,71,34,31,38,93.0,16440
2020-06-27 02:00:00,48,21,27,22,26.0,16441
2020-06-27 03:00:00,8,10,7,10,16.0,16442
2020-06-27 04:00:00,1,5,2,4,3.0,16443
2020-06-27 05:00:00,6,4,6,5,6.0,16444
2020-06-27 06:00:00,15,7,11,9,10.0,16445
2020-06-27 07:00:00,41,30,30,27,27.0,16446
2020-06-27 08:00:00,68,31,52,43,40.0,16447
2020-06-27 09:00:00,106,79,81,93,106.0,16448
2020-06-27 10:00:00,157,158,131,186,227.0,16449
2020-06-27 11:00:00,230,176,182,172,224.0,16450
2020-06-27 12:00:00,228,241,156,207,305.0,16451
2020-06-27 13:00:00,230,263,171,235,393.0,16452
2020-06-27 14:00:00,230,281,155,244,410.0,16453
2020-06-27 15:00:00,245,185,68,179,332.0,16454
2020-06-27 16:00:00,269,234,31,237,329.0,16455
2020-06-27 17:00:00,229,147,56,120,250.0,16456
2020-06-27 18:00:00,226,117,23,153,209.0,16457
2020-06-27 19:00:00,211,131,29,128,267.0,16458
2020-06-27 20:00:00,169,165,22,143,266.0,16459
2020-06-27 21:00:00,208,204,35,183,282.0,16460
2020-06-27 22:00:00,130,136,46,124,202.0,16461
2020-06-27 23:00:00,111,90,30,72,127.0,16462
2020-06-28 00:00:00,121,58,42,46,86.0,16463
2020-06-28 01:00:00,74,52,32,69,110.0,16464
2020-06-28 02:00:00,61,13,20,22,51.0,16465
2020-06-28 03:00:00,1,5,2,4,4.0,16466
2020-06-28 04:00:00,5,3,2,2,2.0,16467
2020-06-28 05:00:00,8,10,5,8,5.0,16468
2020-06-28 06:00:00,6,15,4,19,11.0,16469
2020-06-28 07:00:00,22,7,15,15,24.0,16470
2020-06-28 08:00:00,63,35,44,40,40.0,16471
2020-06-28 09:00:00,86,44,48,65,68.0,16472
2020-06-28 10:00:00,108,113,82,88,177.0,16473
2020-06-28 11:00:00,148,110,91,83,209.0,16474
2020-06-28 12:00:00,154,135,86,88,202.0,16475
2020-06-28 13:00:00,183,159,109,47,282.0,16476
2020-06-28 14:00:00,210,185,99,65,313.0,16477
2020-06-28 15:00:00,144,140,13,41,251.0,16478
2020-06-28 16:00:00,185,125,13,82,192.0,16479
2020-06-28 17:00:00,143,102,14,53,186.0,16480
2020-06-28 18:00:00,121,63,11,85,169.0,16481
2020-06-28 19:00:00,94,36,7,30,138.0,16482
2020-06-28 20:00:00,108,58,17,48,134.0,16483
2020-06-28 21:00:00,90,53,11,81,123.0,16484
2020-06-28 22:00:00,54,29,5,27,71.0,16485
2020-06-28 23:00:00,31,13,3,20,32.0,16486
2020-06-29 00:00:00,31,7,11,7,20.0,16487
2020-06-29 01:00:00,16,3,4,6,12.0,16488
2020-06-29 02:00:00,27,1,5,5,4.0,16489
2020-06-29 03:00:00,9,1,0,1,2.0,16490
2020-06-29 04:00:00,6,0,2,1,2.0,16491
2020-06-29 05:00:00,6,8,3,9,8.0,16492
2020-06-29 06:00:00,32,21,7,16,17.0,16493
2020-06-29 07:00:00,30,33,20,29,41.0,16494
2020-06-29 08:00:00,46,24,24,41,47.0,16495
2020-06-29 09:00:00,50,45,50,35,51.0,16496
2020-06-29 10:00:00,50,52,54,45,93.0,16497
2020-06-29 11:00:00,111,72,62,30,111.0,16498
2020-06-29 12:00:00,105,73,58,16,138.0,16499
2020-06-29 13:00:00,33,3,1,3,37.0,16500
2020-06-29 14:00:00,33,13,5,24,28.0,16501
2020-06-29 15:00:00,38,35,17,44,74.0,16502
2020-06-29 16:00:00,72,37,54,34,48.0,16503
2020-06-29 17:00:00,70,39,52,52,74.0,16504
2020-06-29 18:00:00,83,79,54,91,121.0,16505
2020-06-29 19:00:00,123,94,69,95,125.0,16506
2020-06-29 20:00:00,109,94,66,83,90.0,16507
2020-06-29 21:00:00,53,37,25,48,62.0,16508
2020-06-29 22:00:00,20,18,25,34,28.0,16509
2020-06-29 23:00:00,24,8,16,10,14.0,16510
2020-06-30 00:00:00,19,15,13,16,24.0,16511
2020-06-30 01:00:00,11,4,12,1,2.0,16512
2020-06-30 02:00:00,9,3,6,5,16.0,16513
2020-06-30 03:00:00,2,1,2,1,10.0,16514
2020-06-30 04:00:00,3,5,3,4,4.0,16515
2020-06-30 05:00:00,7,1,5,4,0.0,16516
2020-06-30 06:00:00,34,15,16,16,13.0,16517
2020-06-30 07:00:00,39,29,34,30,35.0,16518
2020-06-30 08:00:00,50,37,53,38,34.0,16519
2020-06-30 09:00:00,59,52,49,51,57.0,16520
2020-06-30 10:00:00,70,62,59,57,77.0,16521
2020-06-30 11:00:00,128,76,98,78,112.0,16522
2020-06-30 12:00:00,140,114,106,86,150.0,16523
2020-06-30 13:00:00,138,101,85,88,152.0,16524
2020-06-30 14:00:00,132,100,50,87,173.0,16525
2020-06-30 15:00:00,100,88,19,47,181.0,16526
2020-06-30 16:00:00,101,73,9,47,143.0,16527
2020-06-30 17:00:00,118,78,32,50,132.0,16528
2020-06-30 18:00:00,104,56,7,96,155.0,16529
2020-06-30 19:00:00,115,36,12,44,165.0,16530
2020-06-30 20:00:00,87,76,6,69,147.0,16531
2020-06-30 21:00:00,85,42,9,66,106.0,16532
2020-06-30 22:00:00,48,34,12,33,74.0,16533
2020-06-30 23:00:00,48,11,12,23,53.0,16534
